type,indicator,classification,notes
domain,twitter-promotion.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,testtdomainname.xyz,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,arkelon22.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslabonus.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,youtubetesla.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrpglobal-event.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrpglobal-event.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrpfinance-info.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrpdouble-promotion.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrpdouble-event.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrpairdrop-live.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrp2x-double.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrp2x-double.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrp-promotion.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrp-info.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrp-give23.xyz,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrp-foundation.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,xrp-finance.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,x2years.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,x2twitter.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,x2crash.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,weripple.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,twit-usd.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tweetmusk.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tslaonline.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tslanow.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,tsl2x.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslaus-event.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslatv.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslatake2023.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslaq3.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslaq3.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslapromotion.live,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslapromotion.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslapromo.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslapromo-2023.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslapromo-2023.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslaone.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslaofficial.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslamusk-promo.info,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslalife.org,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslainc2023.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslagives2023.com,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
domain,teslafinance-promo.net,malicious,"""Domain hosting cryptocurrency phishing scam. Part of a cluster of domains with themes often focused around Tesla and Elon Musk."""
